Year,School_Name,School_Type,School_Category,Ownership_Type,Classes,Students
2016,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,34,797
2016,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,34,840
2016,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,24,576
2016,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,28,577
2016,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,34,901
2016,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,32,858
2016,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,37,889
2016,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,44,1080
2016,Comenius,Special Needs School,General Education School System,Municipal,12,125
2016,Salzmann,Special Needs School,General Education School System,Municipal,15,150
2016,Kästner,Special Needs School,General Education School System,Municipal,10,103
2016,Anne Frank,Special Needs School,General Education School System,Municipal,10,106
2016,Regenbogen,Special Needs School,General Education School System,Municipal,14,114
2016,Am Wasserfall,Special Needs School,General Education School System,Municipal,16,124
2016,H. Kükelhaus,Special Needs School,General Education School System,Municipal,12,94
2016,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,115,2120
2016,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,52,750
2016,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,95,1751
2016,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,17,304
2016,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,28,582
2016,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,34,495
2016,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,4,81
2016,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,50,1046
2016,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,6,140
2016,Leipziger Straße,Primary School,General Education School System,Municipal,404,196
2016,Freie Waldorfschule,Waldorf School,General Education School System,Independent/Private,25,574
2016,Abendgymnasium,Evening Grammar School,Schools of Second Education Pathway (Adult Education),Municipal,3,26
2016,Kolleg,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),Municipal,8,140
2016,Abendsekundarschule,Evening Secondary School,Schools of Second Education Pathway (Adult Education),Municipal,3,71
2016,Domgrundschule,Primary School,General Education School System,Independent/Private,154,83
2016,Neue Schule,New School,General Education School System,Municipal,8,133
2016,G.W.Leibniz Sek,Secondary School,General Education School System,Municipal,10,225
2016,W.Weitling Sek,Secondary School,General Education School System,Municipal,5,109
2016,O.Linke Sek,Secondary School,General Education School System,Municipal,8,178
2016,E.Wille Sek,Secondary School,General Education School System,Municipal,6,139
2016,A.W.Francke Sek,Secondary School,General Education School System,Municipal,8,183
2016,H.Heine Sek,Secondary School,General Education School System,Municipal,8,149
2016,Th.Mann Sek,Secondary School,General Education School System,Municipal,6,132
2016,Stadtfeld,Primary School,General Education School System,Municipal,249,127
2016,Th. Müntzer,Community School,General Education School System,Municipal,5,104
2016,Th. Müntzer Sek,Secondary School,General Education School System,Municipal,14,267
2016,Editha-Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,12,263
2016,Sudenburg,Primary School,General Education School System,Municipal,222,98
2016,Fermersl. Weg1,Special Needs School,General Education School System,Municipal,14,111
2016,Makarenkoschule2,Special Needs School,General Education School System,Municipal,13,102
2015,Hegelstr.,Primary School,General Education School System,Municipal,8,128
2015,Weitlingstr.,Primary School,General Education School System,Municipal,8,165
2015,Im Nordpark,Primary School,General Education School System,Municipal,9,197
2015,Am Umfassungsweg,Primary School,General Education School System,Municipal,10,163
2015,An der Klosterwuhne,Primary School,General Education School System,Municipal,15,302
2015,Am Vogelgesang,Primary School,General Education School System,Municipal,13,269
2015,Am Kannenstieg,Primary School,General Education School System,Municipal,13,244
2015,Kritzmannstraße,Primary School,General Education School System,Municipal,8,179
2015,Nordwest,Primary School,General Education School System,Municipal,11,218
2015,Alt Olvenstedt,Primary School,General Education School System,Municipal,6,130
2015,Am Fliederhof,Primary School,General Education School System,Municipal,8,165
2015,Am Grenzweg,Primary School,General Education School System,Municipal,11,220
2015,Annastr.,Primary School,General Education School System,Municipal,12,249
2015,Am Glacis,Primary School,General Education School System,Municipal,8,169
2015,Am Westring,Primary School,General Education School System,Municipal,8,164
2015,Schmeilstr.,Primary School,General Education School System,Municipal,4,84
2015,Diesdorf,Primary School,General Education School System,Municipal,8,187
2015,Amsdorfstr.,Primary School,General Education School System,Municipal,8,183
2015,Friedenshöhe,Primary School,General Education School System,Municipal,10,197
2015,Ottersleben,Primary School,General Education School System,Municipal,20,448
2015,Lindenhof,Primary School,General Education School System,Municipal,15,312
2015,Am Hopfengarten,Primary School,General Education School System,Municipal,8,186
2015,Buckau,Primary School,General Education School System,Municipal,9,190
2015,Salbke,Primary School,General Education School System,Municipal,10,193
2015,Westerhüsen,Primary School,General Education School System,Municipal,6,97
2015,Am Elbdamm,Primary School,General Education School System,Municipal,9,155
2015,Am Brückfeld,Primary School,General Education School System,Municipal,8,172
2015,Am Pechauer Platz,Primary School,General Education School System,Municipal,10,201
2015,Rothensee,Primary School,General Education School System,Municipal,4,84
2015,St. Mechthild,Primary School,General Education School System,Independent/Private,8,167
2015,Freie GS,Primary School,General Education School System,Independent/Private,4,92
2015,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,163
2015,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,8,174
2015,G.W.Leibniz,Community School,General Education School System,Municipal,4,74
2015,W.Weitling,Community School,General Education School System,Municipal,9,190
2015,O.Linke,Community School,General Education School System,Municipal,4,88
