Year,School_Name,School_Type,School_Category,Ownership_Type,Classes,Students
2013,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,33,786
2013,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,37,896
2013,Comenius,Special Needs School,General Education School System,Municipal,11,114
2013,Gebr. Grimm,Special Needs School,General Education School System,Municipal,6,62
2013,Salzmann,Special Needs School,General Education School System,Municipal,14,174
2013,Kästner,Special Needs School,General Education School System,Municipal,11,123
2013,Anne Frank,Special Needs School,General Education School System,Municipal,13,142
2013,Fermersl. Weg,Special Needs School,General Education School System,Municipal,16,119
2013,Regenbogen,Special Needs School,General Education School System,Municipal,13,93
2013,Am Wasserfall,Special Needs School,General Education School System,Municipal,14,98
2013,H. Kükelhaus,Special Needs School,General Education School System,Municipal,12,88
2013,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,115,2102
2013,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,57,914
2013,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,105,1973
2013,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,16,283
2013,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,26,593
2013,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,24,307
2013,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,6,142
2013,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,45,915
2013,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,5,86
2013,Freie Waldorfschule,Waldorf School,General Education School System,Independent/Private,19,431
2013,Abendgymnasium,Evening Grammar School,Schools of Second Education Pathway (Adult Education),Municipal,3,35
2013,Kolleg,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),Municipal,9,177
2013,Abendsekundarschule,Evening Secondary School,Schools of Second Education Pathway (Adult Education),Municipal,4,83
2013,Leipziger Straße *,Primary School,General Education School System,Municipal,18,363
2013,Domgrundschule,Primary School,General Education School System,Independent/Private,2,44
2013,Neue Schule,New School,General Education School System,Municipal,3,35
2013,A. - Einstein - Gymnasium (Außenstelle),Grammar School (Gymnasium),General Education School System,Municipal,3,64
2013,Makarenkoschule*,Special Needs School,General Education School System,Municipal,14,115
2012,Hegelstr.,Primary School,General Education School System,Municipal,7,105
2012,Weitlingstr.,Primary School,General Education School System,Municipal,8,148
2012,Im Nordpark,Primary School,General Education School System,Municipal,8,157
2012,Am Umfassungsweg,Primary School,General Education School System,Municipal,8,158
2012,An der Klosterwuhne,Primary School,General Education School System,Municipal,15,301
2012,Am Vogelgesang,Primary School,General Education School System,Municipal,10,198
2012,Am Kannenstieg,Primary School,General Education School System,Municipal,10,203
2012,Kritzmannstraße,Primary School,General Education School System,Municipal,9,167
2012,Nordwest,Primary School,General Education School System,Municipal,9,195
2012,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,139
2012,Am Fliederhof,Primary School,General Education School System,Municipal,8,141
2012,Am Grenzweg,Primary School,General Education School System,Municipal,11,170
2012,Am Westernplan,Primary School,General Education School System,Municipal,7,132
2012,Stormstr.,Primary School,General Education School System,Municipal,5,90
2012,Annastr.,Primary School,General Education School System,Municipal,12,220
2012,Am Glacis,Primary School,General Education School System,Municipal,7,136
2012,Am Westring,Primary School,General Education School System,Municipal,8,152
2012,Schmeilstr.,Primary School,General Education School System,Municipal,5,97
2012,Diesdorf,Primary School,General Education School System,Municipal,9,161
2012,Amsdorfstr.,Primary School,General Education School System,Municipal,9,184
2012,Friedenshöhe,Primary School,General Education School System,Municipal,10,203
2012,Ottersleben,Primary School,General Education School System,Municipal,17,400
2012,Lindenhof,Primary School,General Education School System,Municipal,16,299
2012,Am Hopfengarten,Primary School,General Education School System,Municipal,8,167
2012,Buckau,Primary School,General Education School System,Municipal,8,146
2012,Salbke,Primary School,General Education School System,Municipal,10,191
2012,Westerhüsen,Primary School,General Education School System,Municipal,4,77
2012,Am Elbdamm,Primary School,General Education School System,Municipal,7,142
2012,Am Brückfeld,Primary School,General Education School System,Municipal,9,179
2012,Am Pechauer Platz,Primary School,General Education School System,Municipal,10,215
2012,Rothensee,Primary School,General Education School System,Municipal,5,85
2012,St. Mechthild,Primary School,General Education School System,Independent/Private,8,161
2012,Freie GS,Primary School,General Education School System,Independent/Private,4,92
2012,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,164
2012,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,8,159
2012,G.W.Leibniz,Secondary School,General Education School System,Municipal,17,328
2012,Th.Müntzer,Secondary School,General Education School System,Municipal,15,317
2012,W.Weitling,Secondary School,General Education School System,Municipal,13,269
2012,O.Linke,Secondary School,General Education School System,Municipal,14,298
2012,J.W.v.Goethe,Secondary School,General Education School System,Municipal,14,295
2012,E.Wille,Secondary School,General Education School System,Municipal,12,236
2012,A.W.Francke,Secondary School,General Education School System,Municipal,14,305
2012,H.Heine,Secondary School,General Education School System,Municipal,12,241
2012,Th.Mann,Secondary School,General Education School System,Municipal,12,258
2012,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,14,288
2012,LebenLernen,Secondary School,General Education School System,Independent/Private,6,139
2012,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,37,934
2012,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,36,874
2012,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,35,826
2012,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,24,577
2012,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,27,511
2012,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,35,868
2012,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,32,827
2012,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,32,777
2012,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,34,821
2012,Comenius,Special Needs School,General Education School System,Municipal,11,116
2012,Gebr. Grimm,Special Needs School,General Education School System,Municipal,7,71
2012,Salzmann,Special Needs School,General Education School System,Municipal,16,179
2012,Kästner,Special Needs School,General Education School System,Municipal,11,112
2012,Anne Frank,Special Needs School,General Education School System,Municipal,14,147
2012,Fermersl. Weg,Special Needs School,General Education School System,Municipal,15,114
2012,Makarenkoschule,Special Needs School,General Education School System,Municipal,13,112
2012,Regenbogen,Special Needs School,General Education School System,Municipal,13,92
2012,Am Wasserfall,Special Needs School,General Education School System,Municipal,14,101
2012,H. Kükelhaus,Special Needs School,General Education School System,Municipal,11,80
2012,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,112,2025
2012,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,61,970
2012,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,109,2105
2012,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,16,283
2012,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,27,579
2012,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,25,361
2012,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,8,148
2012,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,44,892
2012,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,4,78
2012,Freie Waldorfschule,Waldorf School,General Education School System,Independent/Private,17,387
2012,Abendgymnasium,Evening Grammar School,Schools of Second Education Pathway (Adult Education),Municipal,3,41
2012,Kolleg,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),Municipal,9,181
2012,Abendsekundarschule,Evening Secondary School,Schools of Second Education Pathway (Adult Education),Municipal,3,68
2012,Leipziger Straße *,Primary School,General Education School System,Municipal,17,353
2012,Domgrundschule,Primary School,General Education School System,Independent/Private,1,22
2012,Neue Schule,New School,General Education School System,Municipal,1,12
2011,Hegelstr.,Primary School,General Education School System,Municipal,7,119
2011,Weitlingstr.,Primary School,General Education School System,Municipal,8,151
2011,Im Nordpark,Primary School,General Education School System,Municipal,7,135
2011,Am Umfassungsweg,Primary School,General Education School System,Municipal,8,140
2011,An der Klosterwuhne,Primary School,General Education School System,Municipal,14,273
2011,Am Vogelgesang,Primary School,General Education School System,Municipal,10,201
2011,Am Kannenstieg,Primary School,General Education School System,Municipal,10,204
2011,Kritzmannstraße,Primary School,General Education School System,Municipal,8,148
2011,Nordwest,Primary School,General Education School System,Municipal,10,181
2011,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,141
2011,Am Fliederhof,Primary School,General Education School System,Municipal,7,145
2011,Am Grenzweg,Primary School,General Education School System,Municipal,11,185
2011,Am Westernplan,Primary School,General Education School System,Municipal,7,125
2011,Stormstr.,Primary School,General Education School System,Municipal,6,98
2011,Annastr.,Primary School,General Education School System,Municipal,13,240
2011,Am Glacis,Primary School,General Education School System,Municipal,6,125
2011,Am Westring,Primary School,General Education School System,Municipal,8,145
2011,Schmeilstr.,Primary School,General Education School System,Municipal,6,117
2011,Diesdorf,Primary School,General Education School System,Municipal,8,149
2011,Amsdorfstr.,Primary School,General Education School System,Municipal,10,199
2011,Friedenshöhe,Primary School,General Education School System,Municipal,11,198
2011,Ottersleben,Primary School,General Education School System,Municipal,17,402
2011,Lindenhof,Primary School,General Education School System,Municipal,16,297
2011,Am Hopfengarten,Primary School,General Education School System,Municipal,8,151
2011,Buckau,Primary School,General Education School System,Municipal,7,125
2011,Salbke,Primary School,General Education School System,Municipal,11,175
2011,Westerhüsen,Primary School,General Education School System,Municipal,4,72
2011,Am Elbdamm,Primary School,General Education School System,Municipal,7,127
2011,Am Brückfeld,Primary School,General Education School System,Municipal,9,163
2011,Am Pechauer Platz,Primary School,General Education School System,Municipal,12,227
2011,Rothensee,Primary School,General Education School System,Municipal,5,85
2011,St. Mechthild,Primary School,General Education School System,Independent/Private,8,162
2011,Freie GS,Primary School,General Education School System,Independent/Private,4,91
2011,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,160
2011,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,8,153
2011,G.W.Leibniz,Secondary School,General Education School System,Municipal,15,289
2011,Th.Müntzer,Secondary School,General Education School System,Municipal,18,337
2011,W.Weitling,Secondary School,General Education School System,Municipal,13,262
2011,O.Linke,Secondary School,General Education School System,Municipal,13,296
2011,J.W.v.Goethe,Secondary School,General Education School System,Municipal,14,293
2011,E.Wille,Secondary School,General Education School System,Municipal,12,230
2011,A.W.Francke,Secondary School,General Education School System,Municipal,14,292
2011,H.Heine,Secondary School,General Education School System,Municipal,12,247
2011,Th.Mann,Secondary School,General Education School System,Municipal,12,267
2011,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,14,297
2011,LebenLernen,Secondary School,General Education School System,Independent/Private,5,113
2011,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,36,919
2011,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,35,821
2011,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,30,741
2011,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,24,576
2011,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,25,480
2011,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,35,845
2011,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,31,801
2011,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,34,814
2011,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,34,838
2011,Comenius,Special Needs School,General Education School System,Municipal,12,121
2011,Gebr. Grimm,Special Needs School,General Education School System,Municipal,9,95
2011,Salzmann,Special Needs School,General Education School System,Municipal,18,192
2011,Kästner,Special Needs School,General Education School System,Municipal,10,110
2011,Anne Frank,Special Needs School,General Education School System,Municipal,17,181
2011,Fermersl. Weg,Special Needs School,General Education School System,Municipal,15,109
2011,Makarenkoschule,Special Needs School,General Education School System,Municipal,12,104
2011,Regenbogen,Special Needs School,General Education School System,Municipal,12,84
2011,Am Wasserfall,Special Needs School,General Education School System,Municipal,13,93
2011,H. Kükelhaus,Special Needs School,General Education School System,Municipal,12,82
2011,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,127,2277
2011,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,66,1102
2011,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,113,2183
2011,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,16,315
2011,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,25,551
2011,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,24,380
2011,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,9,163
2011,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,43,901
2011,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,3,58
2011,Leipziger Straße,Primary School,General Education School System,Municipal,16,318
2011,Freie Waldorfschule,Waldorf School,General Education School System,Independent/Private,16,358
2011,Abendgymnasium,Evening Grammar School,Schools of Second Education Pathway (Adult Education),Municipal,3,38
2011,Kolleg,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),Municipal,9,189
2011,Abendsekundarschule,Evening Secondary School,Schools of Second Education Pathway (Adult Education),Municipal,5,104
2010,Hegelstr.,Primary School,General Education School System,Municipal,8,127
2010,Weitlingstr.,Primary School,General Education School System,Municipal,8,141
2010,Im Nordpark,Primary School,General Education School System,Municipal,7,122
2010,Am Umfassungsweg,Primary School,General Education School System,Municipal,8,141
2010,An der Klosterwuhne,Primary School,General Education School System,Municipal,13,259
2010,Am Vogelgesang,Primary School,General Education School System,Municipal,10,173
2010,Am Kannenstieg,Primary School,General Education School System,Municipal,10,192
2010,Kritzmannstraße,Primary School,General Education School System,Municipal,8,134
2010,Nordwest,Primary School,General Education School System,Municipal,11,185
2010,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,138
2010,Am Fliederhof,Primary School,General Education School System,Municipal,8,140
2010,Am Grenzweg,Primary School,General Education School System,Municipal,12,201
2010,Am Westernplan,Primary School,General Education School System,Municipal,7,125
2010,Stormstr.,Primary School,General Education School System,Municipal,6,110
2010,Annastr.,Primary School,General Education School System,Municipal,15,242
2010,Am Glacis,Primary School,General Education School System,Municipal,6,125
2010,Am Westring,Primary School,General Education School System,Municipal,8,169
2010,Schmeilstr.,Primary School,General Education School System,Municipal,7,134
2010,Diesdorf,Primary School,General Education School System,Municipal,7,126
2010,Amsdorfstr.,Primary School,General Education School System,Municipal,9,178
2010,Friedenshöhe,Primary School,General Education School System,Municipal,9,177
2010,Ottersleben,Primary School,General Education School System,Municipal,17,405
2010,B.-Brecht-Str.,Primary School,General Education School System,Municipal,13,307
2010,Lindenhof,Primary School,General Education School System,Municipal,15,272
2010,Am Hopfengarten,Primary School,General Education School System,Municipal,8,149
2010,Buckau,Primary School,General Education School System,Municipal,6,98
2010,Fermersleben,Primary School,General Education School System,Municipal,6,99
2010,Salbke,Primary School,General Education School System,Municipal,4,67
2010,Westerhüsen,Primary School,General Education School System,Municipal,4,75
2010,Am Elbdamm,Primary School,General Education School System,Municipal,7,124
2010,Am Brückfeld,Primary School,General Education School System,Municipal,8,148
2010,Am Pechauer Platz,Primary School,General Education School System,Municipal,12,230
2010,Rothensee,Primary School,General Education School System,Municipal,5,82
2010,St. Mechthild,Primary School,General Education School System,Independent/Private,8,169
2010,Freie GS,Primary School,General Education School System,Independent/Private,4,87
2010,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,161
2010,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,8,135
2010,G.W.Leibniz,Secondary School,General Education School System,Municipal,14,261
2010,Th.Müntzer,Secondary School,General Education School System,Municipal,20,365
2010,W.Weitling,Secondary School,General Education School System,Municipal,12,257
2010,O.Linke,Secondary School,General Education School System,Municipal,13,280
2010,J.W.v.Goethe,Secondary School,General Education School System,Municipal,13,259
2010,E.Wille,Secondary School,General Education School System,Municipal,12,221
2010,A.W.Francke,Secondary School,General Education School System,Municipal,13,272
2010,H.Heine,Secondary School,General Education School System,Municipal,11,227
2010,Th.Mann,Secondary School,General Education School System,Municipal,11,234
2010,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,13,292
2010,LebenLernen,Secondary School,General Education School System,Independent/Private,4,91
2010,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,35,891
2010,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,34,788
2010,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,30,702
2010,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,23,558
2010,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,27,513
2010,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,34,833
2010,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,30,787
2010,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,35,859
2010,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,34,813
2010,Comenius,Special Needs School,General Education School System,Municipal,13,134
2010,Gebr. Grimm,Special Needs School,General Education School System,Municipal,9,104
2010,Salzmann,Special Needs School,General Education School System,Municipal,18,200
2010,Kästner,Special Needs School,General Education School System,Municipal,12,143
2010,Anne Frank,Special Needs School,General Education School System,Municipal,20,198
2010,Fermersl. Weg,Special Needs School,General Education School System,Municipal,15,98
2010,Makarenkoschule,Special Needs School,General Education School System,Municipal,11,95
2010,Regenbogen,Special Needs School,General Education School System,Municipal,12,83
2010,Am Wasserfall,Special Needs School,General Education School System,Municipal,13,93
2010,H. Kükelhaus,Special Needs School,General Education School System,Municipal,10,72
2010,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,115,2283
2010,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,72,1257
2010,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,124,2541
2010,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,16,342
2010,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,8,171
2010,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,24,383
2010,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,24,546
2010,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,44,914
2010,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,2,37
2009,Hegelstr.,Primary School,General Education School System,Municipal,8,130
2009,Weitlingstr.,Primary School,General Education School System,Municipal,8,130
2009,Im Nordpark,Primary School,General Education School System,Municipal,7,110
2009,Am Umfassungsweg,Primary School,General Education School System,Municipal,7,123
2009,An der Klosterwuhne,Primary School,General Education School System,Municipal,13,249
2009,Am Vogelgesang,Primary School,General Education School System,Municipal,9,158
2009,Am Kannenstieg,Primary School,General Education School System,Municipal,10,190
2009,Kritzmannstraße,Primary School,General Education School System,Municipal,7,123
2009,Nordwest,Primary School,General Education School System,Municipal,12,216
2009,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,145
2009,Am Fliederhof,Primary School,General Education School System,Municipal,8,148
2009,Am Grenzweg,Primary School,General Education School System,Municipal,12,210
2009,Am Westernplan,Primary School,General Education School System,Municipal,7,125
2009,Stormstr.,Primary School,General Education School System,Municipal,6,111
2009,Annastr.,Primary School,General Education School System,Municipal,14,248
2009,Am Glacis,Primary School,General Education School System,Municipal,7,121
2009,Am Westring,Primary School,General Education School System,Municipal,8,153
2009,Schmeilstr.,Primary School,General Education School System,Municipal,8,135
2009,Diesdorf,Primary School,General Education School System,Municipal,7,111
2009,Amsdorfstr.,Primary School,General Education School System,Municipal,9,165
2009,Friedenshöhe,Primary School,General Education School System,Municipal,8,161
2009,Ottersleben,Primary School,General Education School System,Municipal,17,410
2009,B.-Brecht-Str.,Primary School,General Education School System,Municipal,15,311
2009,Lindenhof,Primary School,General Education School System,Municipal,16,288
2009,Am Hopfengarten,Primary School,General Education School System,Municipal,8,160
2009,Buckau,Primary School,General Education School System,Municipal,7,113
2009,Fermersleben,Primary School,General Education School System,Municipal,5,88
2009,Salbke,Primary School,General Education School System,Municipal,4,64
2009,Westerhüsen,Primary School,General Education School System,Municipal,4,74
2009,Am Elbdamm,Primary School,General Education School System,Municipal,7,118
2009,Am Brückfeld,Primary School,General Education School System,Municipal,8,147
2009,Am Pechauer Platz,Primary School,General Education School System,Municipal,12,225
2009,Rothensee,Primary School,General Education School System,Municipal,4,72
2009,St. Mechthild,Primary School,General Education School System,Independent/Private,8,167
2009,Freie GS,Primary School,General Education School System,Independent/Private,4,89
2009,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,159
2009,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,8,119
2009,G.W.Leibniz,Secondary School,General Education School System,Municipal,13,229
2009,Th.Müntzer,Secondary School,General Education School System,Municipal,14,283
2009,W.Busch,Secondary School,General Education School System,Municipal,6,110
2009,W.Weitling,Secondary School,General Education School System,Municipal,12,249
2009,Fr.Naumann,Secondary School,General Education School System,Municipal,6,104
2009,O.Linke,Secondary School,General Education School System,Municipal,12,222
2009,J.W.v.Goethe,Secondary School,General Education School System,Municipal,13,232
2009,E.Wille,Secondary School,General Education School System,Municipal,12,211
2009,A.W.Francke,Secondary School,General Education School System,Municipal,14,284
2009,H.Heine,Secondary School,General Education School System,Municipal,13,226
2009,Th.Mann,Secondary School,General Education School System,Municipal,11,222
2009,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,13,300
2009,LebenLernen,Secondary School,General Education School System,Independent/Private,3,69
2009,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,34,847
2009,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,32,732
2009,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,28,677
2009,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,23,541
2009,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,29,527
2009,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,34,842
2009,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,29,752
2009,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,36,858
2009,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,34,798
2009,Fröbel,Special Needs School,General Education School System,Municipal,4,40
2009,Comenius,Special Needs School,General Education School System,Municipal,13,134
2009,Gebr. Grimm,Special Needs School,General Education School System,Municipal,10,113
2009,Salzmann,Special Needs School,General Education School System,Municipal,16,186
2009,Kästner,Special Needs School,General Education School System,Municipal,13,140
2009,Anne Frank,Special Needs School,General Education School System,Municipal,20,189
2009,Fermersl. Weg,Special Needs School,General Education School System,Municipal,13,88
2009,Makarenkoschule,Special Needs School,General Education School System,Municipal,11,101
2009,Regenbogen,Special Needs School,General Education School System,Municipal,11,79
2009,Am Wasserfall,Special Needs School,General Education School System,Municipal,12,86
2009,H. Kükelhaus,Special Needs School,General Education School System,Municipal,10,73
2009,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,120,2505
2009,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,71,1442
2009,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,164,3452
2009,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,18,392
2009,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,10,224
2009,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,24,407
2009,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,45,991
2009,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,1,15
2008,Hegelstr.,Primary School,General Education School System,Municipal,8,137
2008,Weitlingstr.,Primary School,General Education School System,Municipal,9,144
2008,Im Nordpark,Primary School,General Education School System,Municipal,8,131
2008,Am Umfassungsweg,Primary School,General Education School System,Municipal,7,117
2008,An der Klosterwuhne,Primary School,General Education School System,Municipal,11,232
2008,Am Vogelgesang,Primary School,General Education School System,Municipal,9,166
2008,Am Kannenstieg,Primary School,General Education School System,Municipal,10,191
2008,Kritzmannstraße,Primary School,General Education School System,Municipal,7,131
2008,Nordwest,Primary School,General Education School System,Municipal,8,181
2008,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,155
2008,Am Fliederhof,Primary School,General Education School System,Municipal,8,135
2008,Am Grenzweg,Primary School,General Education School System,Municipal,12,204
2008,Am Westernplan,Primary School,General Education School System,Municipal,8,143
2008,Stormstr.,Primary School,General Education School System,Municipal,6,119
2008,Annastr.,Primary School,General Education School System,Municipal,15,258
2008,Am Glacis,Primary School,General Education School System,Municipal,7,120
2008,Am Westring,Primary School,General Education School System,Municipal,8,149
2008,Schmeilstr.,Primary School,General Education School System,Municipal,7,128
2008,Diesdorf,Primary School,General Education School System,Municipal,7,106
2008,Amsdorfstr.,Primary School,General Education School System,Municipal,9,161
2008,Friedenshöhe,Primary School,General Education School System,Municipal,8,130
2008,Ottersleben,Primary School,General Education School System,Municipal,17,409
2008,B.-Brecht-Str.,Primary School,General Education School System,Municipal,15,288
2008,Lindenhof,Primary School,General Education School System,Municipal,16,296
2008,Am Hopfengarten,Primary School,General Education School System,Municipal,8,157
2008,Buckau,Primary School,General Education School System,Municipal,7,112
2008,Fermersleben,Primary School,General Education School System,Municipal,5,73
2008,Salbke,Primary School,General Education School System,Municipal,4,68
2008,Westerhüsen,Primary School,General Education School System,Municipal,4,80
2008,Am Elbdamm,Primary School,General Education School System,Municipal,8,124
2008,Am Brückfeld,Primary School,General Education School System,Municipal,7,125
2008,Am Pechauer Platz,Primary School,General Education School System,Municipal,12,210
2008,Rothensee,Primary School,General Education School System,Municipal,5,81
2008,St. Mechthild,Primary School,General Education School System,Independent/Private,8,160
2008,Freie GS,Primary School,General Education School System,Independent/Private,4,89
2008,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,157
2008,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,7,119
2008,G.W.Leibniz,Secondary School,General Education School System,Municipal,13,231
2008,Th.Müntzer,Secondary School,General Education School System,Municipal,14,307
2008,W.Busch,Secondary School,General Education School System,Municipal,9,148
2008,W.Weitling,Secondary School,General Education School System,Municipal,12,258
