Year,School_Type,School_Category,Schools,Classes,Students
2016,Grammar School (Gymnasium),General Education School System,8,235,5724
2016,Integrated Comprehensive School (IGS),General Education School System,2,81,1969
2016,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,8,140
2016,New School,General Education School System,1,8,133
2016,Secondary School,General Education School System,11,89,1924
2016,Waldorf School,General Education School System,1,25,574
2015,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,33
2015,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,77
2015,Vocational School (Part-Time),Vocational School System,4,283,4959
2015,Vocational School (Full-Time),Vocational School System,4,110,2135
2015,Special Needs School,General Education School System,9,118,1085
2015,Community School,General Education School System,10,43,924
2015,Primary School,General Education School System,36,341,6997
2015,Grammar School (Gymnasium),General Education School System,8,233,5677
2015,Integrated Comprehensive School (IGS),General Education School System,2,78,1860
2015,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,9,156
2015,New School,General Education School System,1,7,113
2015,Secondary School,General Education School System,11,105,2196
2015,Waldorf School,General Education School System,1,23,530
2014,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,32
2014,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,75
2014,Vocational School (Part-Time),Vocational School System,4,286,5179
2014,Vocational School (Full-Time),Vocational School System,4,101,1971
2014,Special Needs School,General Education School System,9,122,1072
2014,Community School,General Education School System,10,25,476
2014,Primary School,General Education School System,36,333,6665
2014,Grammar School (Gymnasium),General Education School System,8,235,5663
2014,Integrated Comprehensive School (IGS),General Education School System,2,74,1825
2014,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,9,161
2014,New School,General Education School System,1,5,70
2014,Secondary School,General Education School System,10,105,2136
2014,Waldorf School,General Education School System,1,21,491
2013,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,35
2013,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,4,83
2013,Vocational School (Part-Time),Vocational School System,4,293,5272
2013,Vocational School (Full-Time),Vocational School System,4,101,1957
2013,Special Needs School,General Education School System,10,124,1128
2013,Primary School,General Education School System,37,331,6448
2013,Grammar School (Gymnasium),General Education School System,8,232,5590
2013,Integrated Comprehensive School (IGS),General Education School System,2,70,1682
2013,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,9,177
2013,New School,General Education School System,1,3,35
2013,Secondary School,General Education School System,12,149,3067
2013,Waldorf School,General Education School System,1,19,431
2012,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,41
2012,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,68
2012,Vocational School (Part-Time),Vocational School System,4,298,5383
2012,Vocational School (Full-Time),Vocational School System,4,104,1980
2012,Special Needs School,General Education School System,10,125,1124
2012,Primary School,General Education School System,37,323,6309
2012,Grammar School (Gymnasium),General Education School System,7,226,5417
2012,Integrated Comprehensive School (IGS),General Education School System,2,66,1598
2012,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,9,181
2012,New School,General Education School System,1,1,12
2012,Secondary School,General Education School System,12,147,3052
2012,Waldorf School,General Education School System,1,17,387
2011,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,38
2011,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,5,104
2011,Vocational School (Part-Time),Vocational School System,4,322,5877
2011,Vocational School (Full-Time),Vocational School System,4,101,1995
2011,Special Needs School,General Education School System,10,130,1171
2011,Primary School,General Education School System,36,323,6127
2011,Grammar School (Gymnasium),General Education School System,7,216,5183
2011,Integrated Comprehensive School (IGS),General Education School System,2,68,1652
2011,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,9,189
2011,Secondary School,General Education School System,12,145,2981
2011,Waldorf School,General Education School System,1,16,358
2010,Vocational School (Part-Time),Vocational School System,4,327,6423
2010,Vocational School (Full-Time),Vocational School System,4,100,2014
2010,Special Needs School,General Education School System,10,133,1220
2010,Primary School,General Education School System,37,318,5947
2010,Grammar School (Gymnasium),General Education School System,7,213,5072
2010,Integrated Comprehensive School (IGS),General Education School System,2,69,1672
2010,Secondary School,General Education School System,12,138,2796
2009,Vocational School (Part-Time),Vocational School System,4,373,7791
2009,Vocational School (Full-Time),Vocational School System,4,79,1622
2009,Special Needs School,General Education School System,11,133,1229
2009,Primary School,General Education School System,37,318,5866
2009,Grammar School (Gymnasium),General Education School System,7,209,4918
2009,Integrated Comprehensive School (IGS),General Education School System,2,70,1656
2009,Secondary School,General Education School System,14,143,2756
2008,Vocational School (Part-Time),Vocational School System,4,354,7633
2008,Vocational School (Full-Time),Vocational School System,4,111,2327
2008,Special Needs School,General Education School System,11,139,1290
2008,Primary School,General Education School System,37,315,5786
2008,Grammar School (Gymnasium),General Education School System,7,211,5031
2008,Integrated Comprehensive School (IGS),General Education School System,2,72,1629
2008,Secondary School,General Education School System,13,144,2870
