Year,Institution,Origin,Students_Total,Students_Male,Students_Female,First_Semester_Total,First_Semester_Male,First_Semester_Female
2024,Magdeburg-Stendal University of Applied Sciences,Pakistan,16,16,0,,,
2024,Magdeburg-Stendal University of Applied Sciences,Palestinian Territories,9,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Peru,3,0,3,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Philippines,3,0,3,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Poland,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Portugal,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Romania,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Russia,18,6,12,4,,
2024,Magdeburg-Stendal University of Applied Sciences,Saudi Arabia,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Sweden,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Switzerland,3,,,3,,
2024,Magdeburg-Stendal University of Applied Sciences,Serbia,5,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Zimbabwe,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Slovakia,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Spain,7,,,6,,
2024,Magdeburg-Stendal University of Applied Sciences,Sri Lanka,4,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Stateless,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Sudan,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Syria,54,43,11,16,13,3
2024,Magdeburg-Stendal University of Applied Sciences,Taiwan,4,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Tibet,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Tajikistan,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Czech Republic,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Togo,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Tunisia,9,9,0,,,
2024,Magdeburg-Stendal University of Applied Sciences,Turkey,12,7,5,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Uganda,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Ukraine,13,5,8,3,,
2024,Magdeburg-Stendal University of Applied Sciences,Hungary,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Unresolved/Unclear,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Uzbekistan,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Venezuela,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,United States,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,United Arab Emirates,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,United Kingdom,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Vietnam,6,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,China,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Belarus,0,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Saxony-Anhalt,3839,1749,2090,897,532,365
2024,Otto von Guericke University Magdeburg,German Citizenship outside Saxony-Anhalt,4057,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Afghanistan,15,,,6,,
2024,Otto von Guericke University Magdeburg,Egypt,119,102,17,34,27,7
2024,Otto von Guericke University Magdeburg,Albania,32,10,22,7,4,3
2024,Otto von Guericke University Magdeburg,Algeria,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Angola,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Syria,127,95,32,12,9,3
2024,Otto von Guericke University Magdeburg,Argentina,7,3,4,6,,
2024,Otto von Guericke University Magdeburg,Armenia,6,,,,,
2024,Otto von Guericke University Magdeburg,Azerbaijan,57,26,31,12,5,7
2024,Otto von Guericke University Magdeburg,Ethiopia,5,,,4,,
2024,Otto von Guericke University Magdeburg,Australia,,,,,,
2024,Otto von Guericke University Magdeburg,Bangladesh,188,135,53,42,33,9
