Year,Statistical_District,Male,Female,Total
2022,Prestersee,. ,0,. 
2022,Zipkeleben,147,132,279
2022,Kreuzhorst,0,0,0
2022,Cracauer Anger,752,568,1320
2022,Herrenkrug/Biederitzer Busch,9,13,22
2022,Alt Rothensee,988,943,1931
2022,Hillersleber Straße,293,236,529
2022,Siedlung Rothensee,215,202,417
2022,Gewerbegebiet Windmühlenstraße,31,33,64
2022,Bahnhof Rothensee,20,12,32
2022,Industriehafen,167,25,192
2022,Hafen,0,0,0
2022,August-Bebel-Damm,11,8,19
2022,Barleber Wiese,0,0,0
2022,Barleber See I,. ,. ,7
2022,Barleber See II,0,0,0
2022,Schiffshebewerk,35,40,75
2022,Autobahnanschlußstelle,0,0,0
2022,Schrote/Autobahn,0,0,0
2022,Pechau,269,252,521
2022,Randau,237,224,461
2022,Calenberge,45,47,92
2022,Beyendorf,333,329,662
2022,Sohlen,308,286,594
2022,Magdeburg,119862,122891,242753
