Year,Statistical_District,Male,Female,Total
2025,Wohngebiet Welsleber Straße,537,542,1079
2025,Gewerbegebiet Welsleber Straße,175,190,365
2025,Westerhüsener Park,465,475,940
2025,Neue Siedlung,71,80,151
2025,Frohser Berg,. ,0,. 
2025,Heumarkt,638,651,1289
2025,Dessauer Straße,948,1030,1978
2025,Gübser Weg,113,107,220
2025,Steinwiese,388,371,759
2025,Puppendorf,267,260,527
2025,Neugrüneberg,383,375,758
2025,Stadion Neue Welt,12,7,19
2025,Friedensweiler,168,174,342
2025,Berliner Chaussee,27,22,49
2025,Alt Cracau,1526,1660,3186
2025,Siedlung Cracau,1602,1707,3309
2025,Wiesengrund/Zur Pappel,649,744,1393
2025,Stadion,17,10,27
2025,Prester,988,987,1975
2025,Prestersee,. ,. ,5
2025,Zipkeleben,149,136,285
2025,Kreuzhorst,0,0,0
2025,Cracauer Anger,681,585,1266
2025,Herrenkrug/Biederitzer Busch,14,10,24
2025,Alt Rothensee,976,917,1893
2025,Hillersleber Straße,288,247,535
2025,Siedlung Rothensee,318,330,648
2025,Gewerbegebiet Windmühlenstraße,25,32,57
2025,Bahnhof Rothensee,16,7,23
2025,Industriehafen,261,25,286
2025,Hafen,0,0,0
2025,August-Bebel-Damm,8,7,15
2025,Barleber Wiese,0,0,0
2025,Barleber See I,. ,. ,7
2025,Barleber See II,0,0,0
2025,Schiffshebewerk,33,35,68
2025,Autobahnanschlußstelle,0,0,0
2025,Schrote/Autobahn,0,0,0
2025,Pechau,269,262,531
2025,Randau,230,214,444
2025,Calenberge,41,45,86
2025,Beyendorf,335,337,672
2025,Sohlen,299,285,584
2025,Magdeburg,122811,123023,245834
2024,Rathausviertel,2020,2075,4095
2024,Jakobstraße,1002,1176,2178
2024,Krökentorviertel/Breiter Weg NA,1717,1764,3481
2024,Bahnhofsviertel,685,762,1447
2024,Hasselbachplatzviertel,2018,1856,3874
2024,Sternviertel,913,886,1799
2024,Werder,1151,1221,2372
2024,Rotehorn,61,41,102
